ID,ItemName,IconName,DropWeight,Description,ItemType,EquipSlot,HP,MP,AD,AP,MS
101,사이버펑크 고글,Head_1,20,어두운 곳에서도 시야를 확보해 주는 네온빛 고글.,Equipment,Head,NULL,20,NULL,NULL,NULL
102,화이트레이의 리본,Head_2,15,머리에 가볍게 묶을 수 있는 귀여운 붉은색 리본.,Equipment,Head,NULL,10,NULL,NULL,NULL
103,방탄 헬멧,Head_3,20,물리적인 충격을 튕겨내는 단단한 헬멧.,Equipment,Head,NULL,NULL,NULL,NULL,NULL
104,홀로그램 펜던트,neck_1,15,푸른빛 문양이 공중에 떠오르는 신비한 목걸이.,Equipment,Neck,NULL,30,NULL,NULL,NULL
105,초전도체 목걸이,neck_2,20,미세한 전류가 흘러 반사 신경을 높여주는 목걸이.,Equipment,Neck,NULL,25,NULL,NULL,NULL
106,낡은 은목걸이,neck_3,30,오래된 디자인이지만 묘한 마력이 느껴진다.,Equipment,Neck,NULL,40,NULL,NULL,NULL
107,냥 코인 골드 링,ring_1,10,행운을 불러오는 반짝이는 금빛 반지.,Equipment,Ring,NULL,15,NULL,NULL,NULL
108,네온 다이아 링,ring_2,15,어둠 속에서 은은하게 빛나는 보석 반지.,Equipment,Ring,NULL,20,NULL,NULL,NULL
109,크롬 도금 반지,ring_3,30,공장제 부품을 가공해서 만든 튼튼한 반지.,Equipment,Ring,NULL,NULL,NULL,NULL,NULL
110,홀로그램 링,ring_4,20,착용자의 기분에 따라 색이 변하는 반지.,Equipment,Ring,NULL,10,NULL,NULL,NULL
111,티타늄 반지,ring_5,25,절대 부서지지 않는 강도를 자랑하는 반지.,Equipment,Ring,NULL,NULL,NULL,NULL,NULL
112,해커의 링,ring_6,15,단말기 접속 코드가 내장된 스마트 반지.,Equipment,Ring,NULL,50,NULL,NULL,NULL
113,강철 건틀릿,glove_1,20,묵직하고 단단한 철제 장갑.,Equipment,Gloves,NULL,NULL,NULL,NULL,NULL
114,화이트레이의 레이스 장갑,glove_2,15,손에 부드럽게 감기는 고급스러운 레이스 장갑.,Equipment,Gloves,NULL,20,NULL,NULL,NULL
115,사이버네틱 핸드,glove_3,10,팔의 근력을 기계적으로 증폭시켜 주는 장치.,Equipment,Gloves,NULL,NULL,NULL,NULL,NULL
116,전술형 요대,waist_1,25,다양한 도구를 매달 수 있는 튼튼한 허리띠.,Equipment,Waist,NULL,NULL,NULL,NULL,NULL
117,중력 제어 벨트,waist_2,10,낙하 충격을 줄여주는 특수 장치가 달린 벨트.,Equipment,Waist,NULL,NULL,NULL,NULL,NULL
118,가죽 벨트,waist_3,40,아주 평범하고 질긴 가죽으로 만든 벨트.,Equipment,Waist,NULL,NULL,NULL,NULL,NULL
119,네온 후드티,top_1,25,뒷면에 화려한 로고가 빛나는 편안한 후드.,Equipment,Top,50,NULL,NULL,NULL,NULL
120,방탄 방직 재킷,top_2,15,가볍지만 총알도 막아내는 특수 소재 재킷.,Equipment,Top,70,NULL,NULL,NULL,NULL
